"","X21","X53","X54","X55","X68","X71","X74","X157","X158","X159","Country"
"2",929202,2486779,2080345,14040733,918,893,623,4620.3,5.43,2.59,"BGR"
"3",1738412,21540909,20975236,112492571,1764,2102,1253,161.8,4.29,2.96,"CZE"
"4",12658425,1004071,1872445,7789880,9977,3662,4459,94,4.09,2.74,"DEU"
"5",178257,11143209,51343595,147339466,239,175,91,157.5,4.91,3.69,"EST"
"6",568760,105455873,108945981,288653109,2139,782,184,25.7,2.13,1.55,"GRC"
"7",NA,2183664,1377383,18016695,NA,4370,3232,572,4.01,2.97,"FRA"
"8",435943,110979444,137736779,827200278,929,311,142,885.6,4.22,2.34,"HRV"
"9",5414181,1298424,938380,5387093,6226,7734,5876,38.1,3.28,2.42,"ITA"
"10",250839,5120310,1490919,13411673,313,223,92,15.7,4.61,3.59,"LVA"
"11",427393,3549227,3881612,60362719,545,357,538,19.9,2.96,2.48,"LTU"
"12",1143172,376626,518308,2413808,1121,814,614,10.9,5.79,3.51,"HUN"
"14",1147692,20247535,17783770,176563544,2144,305,198,356.4,3.47,2.55,"AUT"
"15",4252425,8524451,10020599,98287076,2369,3190,1657,138.4,3.22,2.29,"POL"
"16",2087094,2431037,1858768,18385904,632,1420,764,106.4,3.55,2.27,"ROU"
"17",271389,8953452,15144329,31309888,502,213,146,55,3.6,2.64,"SVN"
"18",649477,11964409,15839797,135441681,512,751,270,28.6,3.99,3.04,"SVK"
